company_name,score
"3M",-0.1273
"A. O. Smith",-0.7127
"Abbott Laboratories",-0.6981
"AbbVie",-0.1277
"Accenture",0.1107
"Adobe Inc.",-0.8993
"Advanced Micro Devices",-0.1637
"AES Corporation",-0.3429
"Aflac",-0.3071
"Agilent Technologies",-0.8182
"Air Products",-0.7216
"Airbnb",-0.5225
"Akamai Technologies",-0.0736
"Albemarle Corporation",0.2252
"Alexandria Real Estate Equities",-0.5523
"Align Technology",-0.1289
"Allegion",0.0372
"Alliant Energy",0.0548
"Allstate",-0.2218
"Alphabet Inc. (Class A)",-0.0635
"Alphabet Inc. (Class C)",-0.1636
"Altria",-0.3315
"Amazon",-0.6317
"Amcor",-0.1830
"Ameren",-0.1324
"American Electric Power",-0.0868
"American Express",-0.2231
"American International Group",-0.7689
"American Tower",-0.2131
"American Water Works",-0.3269
"Ameriprise Financial",-0.4890
"Ametek",0.0651
"Amgen",-0.4335
"Amphenol",0.4351
"Analog Devices",-0.6273
"Aon plc",-0.1746
"APA Corporation",-0.5178
"Apollo Global Management",-0.6358
"Apple Inc.",-0.6644
"Applied Materials",-0.0713
"AppLovin",-0.2631
"Aptiv",-0.0376
"Arch Capital Group",-0.1962
"Archer Daniels Midland",-0.1945
"Arista Networks",-0.1294
"Arthur J. Gallagher & Co.",-0.1322
"Assurant",-0.3913
"AT&T",-0.0771
"Atmos Energy",0.0732
"Autodesk",-0.0395
"Automatic Data Processing",-0.4103
"AutoZone",-0.1480
"AvalonBay Communities",0.0846
"Avery Dennison",-0.2070
"Axon Enterprise",-0.3024
"Baker Hughes",0.1940
"Ball Corporation",-0.8895
"Bank of America",-0.1762
"Baxter International",-0.2400
"Becton Dickinson",-0.4193
"Berkshire Hathaway",0.2210
"Best Buy",-0.5449
"Bio-Techne",-0.6141
"Biogen",-0.4434
"BlackRock",-0.2660
"Blackstone Inc.",-0.7412
"Block, Inc.",0.0203
"BNY Mellon",-0.1740
"Boeing",-0.0232
"Booking Holdings",-0.2591
"Boston Scientific",-0.3111
"Bristol Myers Squibb",-0.3391
"Broadcom",0.0997
"Broadridge Financial Solutions",-0.1446
"Brown & Brown",-0.5228
"Brown–Forman",-0.4773
"Builders FirstSource",-0.6506
"Bunge Global",-0.5793
"BXP, Inc.",-0.9036
"C.H. Robinson",-0.2020
"Cadence Design Systems",-0.8546
"Camden Property Trust",-0.4703
"Campbell's Company (The)",-0.2715
"Capital One",-0.4710
"Cardinal Health",-0.4169
"Carnival",0.0593
"Carrier Global",-0.5325
"Caterpillar Inc.",0.6483
"Cboe Global Markets",-0.0614
"CBRE Group",-0.4811
"CDW Corporation",-0.3693
"Cencora",-0.3992
"Centene Corporation",-0.4506
"CenterPoint Energy",-0.3625
"CF Industries",-0.2382
"Charles River Laboratories",-0.3132
"Charles Schwab Corporation",-0.1794
"Charter Communications",-0.4340
"Chevron Corporation",-0.3734
"Chipotle Mexican Grill",-0.3167
"Chubb Limited",-0.3738
"Church & Dwight",-0.1500
"Cigna",0.1024
"Cincinnati Financial",-0.0807
"Cintas",0.0703
"Cisco",-0.8006
"Citigroup",0.2437
"Citizens Financial Group",-0.7208
"Clorox",-0.2166
"CME Group",0.1225
"CMS Energy",-0.4334
"Coca-Cola Company (The)",-0.5320
"Cognizant",-0.4886
"Coinbase",-0.9467
"Colgate-Palmolive",-0.5211
"Comcast",-0.0997
"Conagra Brands",-0.2640
"ConocoPhillips",-0.4699
"Consolidated Edison",-0.0897
"Constellation Brands",-0.4263
"Constellation Energy",-0.3849
"Cooper Companies (The)",-0.2411
"Copart",-0.1932
"Corning Inc.",-0.1517
"Corpay",-0.5101
"Corteva",-0.2228
"CoStar Group",-0.7136
"Costco",-0.0484
"Coterra",-0.3414
"CrowdStrike",0.1176
"Crown Castle",-0.4803
"CSX Corporation",-0.2984
"Cummins",-0.2113
"CVS Health",-0.0147
"D. R. Horton",-0.1962
"Danaher Corporation",-0.7407
"Darden Restaurants",-0.6632
"Datadog",-0.1282
"DaVita",-0.4916
"Dayforce",-0.3981
"Deckers Brands",-0.2584
"Deere & Company",-0.3183
"Dell Technologies",-0.7583
"Delta Air Lines",0.2075
"Devon Energy",-0.3480
"Dexcom",-0.2088
"Diamondback Energy",-0.5078
"Digital Realty",-0.0123
"Dollar General",-0.1533
"Dollar Tree",-0.5124
"Dominion Energy",-0.2324
"Domino's",-0.0523
"DoorDash",0.0867
"Dover Corporation",-0.3862
"Dow Inc.",-0.2153
"DTE Energy",-0.5167
"Duke Energy",0.2255
"DuPont",-0.4626
"Eastman Chemical Company",-0.6110
"Eaton Corporation",-0.1576
"eBay Inc.",0.1103
"Ecolab",-0.0107
"Edison International",-0.2170
"Edwards Lifesciences",-0.7737
"Electronic Arts",-0.5094
"Elevance Health",-0.0229
"Emcor",0.0672
"Emerson Electric",-0.1747
"Entergy",-0.5597
"EOG Resources",0.0337
"EPAM Systems",0.1364
"EQT Corporation",-0.7602
"Equifax",-0.2631
"Equinix",-0.0584
"Equity Residential",-0.8219
"Erie Indemnity",0.3289
"Essex Property Trust",-0.2250
"Estée Lauder Companies (The)",-0.4616
"Everest Group",-0.8903
"Evergy",-0.6021
"Eversource Energy",-0.4035
"Exelon",-0.5601
"Expand Energy",-0.2208
"Expedia Group",-0.0915
"Expeditors International",-0.3243
"Extra Space Storage",-0.2732
"ExxonMobil",-0.6130
"F5, Inc.",-0.1364
"FactSet",-0.5710
"Fair Isaac",-0.2720
"Fastenal",-0.0284
"Federal Realty Investment Trust",-0.3461
"FedEx",-0.3359
"Fidelity National Information Services",-0.4684
"Fifth Third Bancorp",0.0945
"First Solar",-0.1687
"FirstEnergy",-0.2694
"Fiserv",-0.0520
"Ford Motor Company",0.0666
"Fortinet",-0.5136
"Fortive",0.2937
"Fox Corporation (Class A)",-0.4451
"Fox Corporation (Class B)",-0.1402
"Franklin Resources",-0.3035
"Freeport-McMoRan",-0.3926
"Garmin",-0.2054
"Gartner",0.2720
"GE Aerospace",-0.1519
"GE HealthCare",-0.6891
"GE Vernova",-0.2978
"Gen Digital",-0.5440
"Generac",0.2831
"General Dynamics",0.1558
"General Mills",-0.9624
"General Motors",0.3014
"Genuine Parts Company",-0.1206
"Gilead Sciences",-0.7529
"Global Payments",-0.1072
"Globe Life",-0.3078
"GoDaddy",0.0387
"Goldman Sachs",-0.0699
"Halliburton",-0.5074
"Hartford (The)",-0.3670
"Hasbro",0.2872
"HCA Healthcare",-0.9725
"Healthpeak Properties",-0.6578
"Henry Schein",-0.5600
"Hershey Company (The)",-0.5337
"Hewlett Packard Enterprise",-0.5620
"Hilton Worldwide",0.1038
"Hologic",-0.2099
"Home Depot (The)",-0.2881
"Honeywell",-1.0000
"Hormel Foods",0.2213
"Host Hotels & Resorts",-0.5459
